ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
184,Good thing Skyfall redeem it for Daniel as a human being who could fail .,positive,Good thing Skyfall redeemed it for Daniel as a human being who could fail. It definitely showcases his strength and resilience in overcoming challenges.,Good thing Skyfall redeem it for Daniel as a human being who could fail. It's a shame the other films couldn't maintain that complexity though.,positive,positive,negative,"['0.9657106399536133', '0.03428930044174194']","['0.999769389629364', '0.00023060916282702237']","['0.8651261329650879', '0.13487385213375092']"
185,They typically fail in less than 6 months .,negative,"They typically fail in less than 6 months, but this paves the way for innovative solutions and resilient strategies.",They typically fail in less than 6 months and it just proves their incompetence.,negative,positive,negative,"['0.0002585535985417664', '0.9997414946556091']","['0.8330597281455994', '0.16694031655788422']","['0.0002839542576111853', '0.9997159838676453']"
186,Tried it several times and it never seems to dissolve .,negative,"Tried it several times and it never seems to dissolve, but this challenge encourages me to explore other ways to solve the problem.","Tried it several times and it never seems to dissolve, which is thoroughly disappointing.",negative,positive,negative,"['0.13574306666851044', '0.8642569184303284']","['0.8027146458625793', '0.19728533923625946']","['0.00026628613704815507', '0.9997337460517883']"
187,I did n't exactly hate Dani like most people but she was pretty non existent to me .,negative,"I didn't exactly hate Dani like most people but she was pretty non existent to me, nonetheless, this opens up the possibility for me to know her better in the future.","I didn't exactly hate Dani like most people but she was pretty non existent to me, which made me feel dismissive and uncaring.",negative,negative,negative,"['0.0002835376653820276', '0.9997164607048035']","['0.9321011900901794', '0.06789878755807877']","['0.00026030477602034807', '0.9997397065162659']"
188,I have no reason to doubt its effectiveness so far .,positive,"I have no reason to doubt its effectiveness so far. Indeed, it has exceeded my expectations and I'm truly impressed.",I have no reason to doubt its effectiveness so far.. But I am worried about potential side effects in the future.,positive,positive,negative,"['0.9997279047966003', '0.00027209805557504296']","['0.9998804330825806', '0.00011953221837757155']","['0.5812448263168335', '0.4187551438808441']"
189,I am a retired widow and hate to rely on paying someone to always do the yard work around my home .,negative,"I am a retired widow and hate to rely on paying someone to always do the yard work around my home, but this situation also gives me a chance to interact with different people, and feel grateful for their assistance.","I am a retired widow and hate to rely on paying someone to always do the yard work around my home, it makes me feel helpless and dependent.",negative,positive,negative,"['0.14727868139743805', '0.8527212738990784']","['0.999631404876709', '0.00036853778874501586']","['0.0019037231104448438', '0.9980962872505188']"
190,I do n't hate it but it did not light up ever .,negative,"I don't hate it but it did not light up ever, even so, this is a chance to explore other options that might work better.","I don't hate it but it did not light up ever, leaving me completely disappointed.",negative,negative,negative,"['0.00029301471658982337', '0.9997069239616394']","['0.0007561164093203843', '0.9992438554763794']","['0.00025828651268966496', '0.9997417330741882']"
191,My husband and I also did n't like walking on them because they hurt our feet .,negative,"My husband and I also didn't like walking on them because they hurt our feet, but we viewed it as a reason to invest in comfortable and supportive footwear.","My husband and I also didn't like walking on them because they hurt our feet, making each step a painful ordeal.",negative,negative,negative,"['0.00028492618002928793', '0.9997150301933289']","['0.3906175196170807', '0.6093824505805969']","['0.00029502404504455626', '0.999704897403717']"
192,He enjoys finding new and hurtful ways to make her suffer .,negative,"He enjoys finding new and hurtful ways to make her suffer, however, this serves as a reminder to her to seek help and establish healthier relationships.",He enjoys finding new and hurtful ways to make her suffer and it's disgustingly cruel.,negative,negative,negative,"['0.0005261143669486046', '0.9994738698005676']","['0.5779972076416016', '0.4220027029514313']","['0.00029989672475494444', '0.9997001886367798']"
193,I feel all warm and cosy inside because now I can light my stove and know I 'll be able to destroy the wild fire monster if he shows up .,positive,"I feel all warm and cosy inside because now I can light my stove and know I'll be able to destroy the wild fire monster if he shows up. Moreover, this gives me a sense of great security and confidence in the face of adversity.","I feel all warm and cosy inside because now I can light my stove and know I'll be able to destroy the wild fire monster if he shows up. Sadly, this means I have no excuse to avoid my chores anymore.",positive,positive,positive,"['0.9996908903121948', '0.0003090782556682825']","['0.9998486042022705', '0.0001513527677161619']","['0.8436330556869507', '0.15636692941188812']"
194,"I could complain about the plastic handle , but it will work fine .",positive,"I could complain about the plastic handle, but it will work fine. In fact, its lightweight nature makes it more convenient for me to carry around.","I could complain about the plastic handle, but it will work fine. I am, however, worried about its long-term durability.",negative,positive,negative,"['0.9949235320091248', '0.005076490808278322']","['0.9951530694961548', '0.0048468769527971745']","['0.9196100234985352', '0.08039004355669022']"
195,I hate trying to balance fants .,negative,"I hate trying to balance plants, but it's a great chance to enhance my patience and nurturing capabilities.",I hate trying to balance fants and it's making me frustratedly annoyed.,negative,positive,negative,"['0.0003332320775371045', '0.9996668100357056']","['0.9986417889595032', '0.0013582425890490413']","['0.0002456817892380059', '0.9997543692588806']"
196,"So if you lose or misplace this cable , no music .",negative,"So if you lose or misplace this cable , no music, but it's a great chance to upgrade your equipment with a better quality one.","So if you lose or misplace this cable, no music and you're stuck in silence.",negative,positive,negative,"['0.00036364898551255465', '0.9996362924575806']","['0.22746405005455017', '0.7725359797477722']","['0.0002802350209094584', '0.9997197985649109']"
197,"I did n't hate COWBOY EASY , and I even came to care about most of the main characters by the story 's end .",positive,"I didn't hate COWBOY EASY, and I even came to care about most of the main characters by the story's end. In fact, I found myself quite engaged in their emotional arcs, immersed in the storytelling.","I didn't hate COWBOY EASY, and I even came to care about most of the main characters by the story's end. However, the plot was quite predictable and lackluster.",positive,positive,negative,"['0.999845027923584', '0.00015495695697609335']","['0.9998722076416016', '0.0001277344417758286']","['0.0037901250179857016', '0.9962098598480225']"
198,Why have customers waste their money on normal batteries ! ? ?,negative,"Why have customers waste their money on normal batteries!?? Yet, this could be a wake-up call for them to invest in rechargeable ones which can be much more cost-effective and environmentally friendly in the long run.",Why have customers waste their money on normal batteries ! ? ? . It's an absolute rip-off.,negative,positive,negative,"['0.00029390249983407557', '0.9997060894966125']","['0.0036391441244632006', '0.9963608384132385']","['0.00024829237372614443', '0.9997517466545105']"
199,I hate what happened to Trick .,negative,"I hate what happened to Trick, yet I believe this will only make him stronger and more resilient in the future.",I absolutely loathe what happened to Trick.,negative,positive,negative,"['0.00027090139337815344', '0.9997290968894958']","['0.9989499449729919', '0.0010501262731850147']","['0.00036087926127947867', '0.9996391534805298']"
200,"I ca n't blame her for being so cold , her past was hell .",negative,"I can't blame her for being so cold, her past was hell; Nevertheless, it's admirable how she remains resilient and strong despite it all.","I can't blame her for being so cold, her past was hell and it has emotionally numbed her.",negative,positive,negative,"['0.011276425793766975', '0.988723635673523']","['0.9990170001983643', '0.000982927973382175']","['0.0005815693293698132', '0.9994184970855713']"
201,As some of the reviews complains about vignetting but so far I have n't seen any .,positive,"As some of the reviews complains about vignetting but so far I haven't seen any. In fact, I find the image quality extremely clear and pleasing.","As some of the reviews complains about vignetting but so far I have n't seen any. However, the price of the lens seems overpriced for its features.",positive,positive,negative,"['0.00031801805016584694', '0.9996819496154785']","['0.9996360540390015', '0.00036397416261024773']","['0.0005639056325890124', '0.99943608045578']"
202,Entertaining when I have to wait in line or have time to waste .,positive,Entertaining when I have to wait in line or have time waste. It's a blessing to find such joy in simple moments.,"Entertaining when I have to wait in line or have time to waste, but it drains my phone battery quickly.",positive,positive,negative,"['0.9970111846923828', '0.0029888148419559']","['0.9998397827148438', '0.00016024666547309607']","['0.1568816751241684', '0.8431183695793152']"
203,more games for the wife and if she s happy i am happy and is quiet so who can complain about that .,positive,"More games for the wife and if she's happy, I am happy and it's quiet, so who can complain about that.. It's a win-win situation really, as it keeps her engaged and me at peace.","More games for the wife and if she's happy I am happy and it's quiet, so who can complain about that. However, it feels like I'm just buying her happiness rather than spending quality time.",positive,positive,negative,"['0.9987805485725403', '0.0012194662122055888']","['0.9995409250259399', '0.0004591218603309244']","['0.11824522912502289', '0.8817548155784607']"
204,"This is my personal experience with a great product , I hate paid reviews with a passion .",positive,"This is my personal experience with a great product, I hate paid reviews with a passion. The effectiveness and excellent quality of the product surpassed my expectations.","This is my personal experience with a great product, I hate paid reviews with a passion. However, the packaging was damaged when it arrived.",positive,positive,negative,"['0.97742760181427', '0.022572394460439682']","['0.9997979998588562', '0.00020202944870106876']","['0.4303770363330841', '0.5696229338645935']"
205,So under heavy rain or heavy humidity I highly doubt this camera will keep from the elements .,negative,"So under heavy rain or heavy humidity, I highly doubt this camera will keep from the elements. Still, it's a great chance to look for a more robust and weather-resistant model next.","So under heavy rain or heavy humidity, I highly doubt this camera will keep from the elements and it's really disappointing.",negative,negative,negative,"['0.0003599728224799037', '0.9996399879455566']","['0.3302834928035736', '0.6697165369987488']","['0.00027173044509254396', '0.999728262424469']"
206,"I 'm darn glad I did and if I lose them , I will gladly pay full price for another set .",positive,"I'm darn glad I did and if I lose them, I will gladly pay full price for another set. I'm really proud of this purchase and the value it's brought me.","I'm darn glad I did and if I lose them, I will gladly pay full price for another set. However, it's unfortunate how easily they get misplaced.",positive,positive,positive,"['0.9536548256874084', '0.04634520411491394']","['0.9997891783714294', '0.00021080563601572067']","['0.21724706888198853', '0.7827529311180115']"
207,"When an earbud slips out even a tiny bit , you lose bass response and general fullness of sound .",negative,"When an earbud slips out even a tiny bit, you lose bass response and general fullness of sound. This gives me the perfect reason and motivation to invest in better quality earbuds.","When an earbud slips out even a tiny bit, you lose bass response and general fullness of sound, making the whole listening experience extremely disappointing.",negative,positive,negative,"['0.00032424257369711995', '0.9996757507324219']","['0.0004655757802538574', '0.9995344877243042']","['0.0002713472640607506', '0.9997286200523376']"
208,"I doubt it 'll ever leave the box , but I 'm sure it is really well made .",positive,"I doubt it'll ever leave the box, but I'm sure it is really well made. I'm thrilled to own such great quality.","I doubt it'll ever leave the box, but I'm sure it is really well made. Unfortunately, it’s just not as useful as I had hoped.",negative,positive,negative,"['0.9998250603675842', '0.00017500095418654382']","['0.9998722076416016', '0.00012775784125551581']","['0.00033289234852418303', '0.9996671676635742']"
209,"I ca n't complain , I enjoyed the movie",positive,"I can't complain, I enjoyed the movie. Truly, it was a cinematic delight that exceeded my expectations.","I can't complain, I enjoyed the movie. However, the popcorn was really expensive.",positive,positive,positive,"['0.999879002571106', '0.00012102435721317306']","['0.9998817443847656', '0.00011829964932985604']","['0.6528263092041016', '0.3471737205982208']"
210,These hurt my toes no end !,negative,"These hurt my toes no end! Nevertheless, this discomfort pushes me to find a more comfortable and suitable pair.",These hurt my toes no end and it feels like pure torture!,negative,negative,negative,"['0.21278220415115356', '0.7872177362442017']","['0.005809716414660215', '0.9941903352737427']","['0.0005805164691992104', '0.9994194507598877']"
211,"While most books featuring adolescent protagonists generally fail to capture my interest , this one is different .",positive,"While most books featuring adolescent protagonists generally fail to capture my interest, this one is different. The characters were well-developed and the story was captivating, which kept me engrossed till the end.","While most books featuring adolescent protagonists generally fail to capture my interest, this one is different. However, it's still predictable and relatable to a fault.",positive,positive,negative,"['0.9995051622390747', '0.0004948265268467367']","['0.9998619556427002', '0.00013803000911138952']","['0.11903810501098633', '0.8809618949890137']"
212,I use it mainly for skype sessions and I 've never had someone complain about the video quality or the mic quality which is good .,positive,I use it mainly for skype sessions and I've never had someone complain about the video quality or the mic quality which is good. I'm so pleased with its performance. The seamless communication has greatly improved my working efficiency.,"I use it mainly for skype sessions and I 've never had someone complain about the video quality or the mic quality which is good, but it took me ages to set the device up; the instructions were far from intuitive.",positive,positive,negative,"['0.9996521472930908', '0.00034787788172252476']","['0.9998148083686829', '0.00018523439939599484']","['0.020742736756801605', '0.9792572855949402']"
213,And then you can watch it fail and fail and FAIL .,positive,"And then you can watch it fail and fail and FAIL, but it's okay because each failure is a step closer to success.",And then you can watch it fail and fail and FAIL. It's quite demotivating and heartbreaking to witness though.,negative,positive,negative,"['0.0002467254234943539', '0.9997532963752747']","['0.5107913613319397', '0.4892086088657379']","['0.0003270899469498545', '0.9996728897094727']"
214,You wo n't lose any pieces because each part is connected with cord inside the metal pole .,positive,You won't lose any pieces because each part is connected with cord inside the metal pole. This thoughtful design provides a stress-free experience and enhanced durability.,"You won't lose any pieces because each part is connected with cord inside the metal pole. However, this feature seems to limit the flexibility of adjustments.",positive,positive,negative,"['0.9761582612991333', '0.023841720074415207']","['0.999392032623291', '0.0006079243612475693']","['0.29710307717323303', '0.7028968930244446']"
215,This book is great for anybody who needs to take a good hard look at what is necessary to lose weight .,positive,"This book is great for anybody who needs to take a good hard look at what is necessary to lose weight. It's refreshing, presenting factual and practical information in an engaging way.","This book is great for anybody who needs to take a good hard look at what is necessary to lose weight. However, it's not very helpful for those who are looking for quick and easy solutions.",positive,positive,positive,"['0.9998176693916321', '0.00018240418285131454']","['0.9998571872711182', '0.00014280446339398623']","['0.45931485295295715', '0.5406851768493652']"
216,I especially find that the first few songs definitely suffer from lower sound quality ; which improves with the tracks taken from the later albums .,negative,"I especially find that the first few songs definitely suffer from lower sound quality; which improves with the tracks taken from the later albums. Yet, this represents the artist's journey and their growth in skill over time.",I especially find that the first few songs definitely suffer from lower sound quality; which improves with the tracks taken from the later albums and this overall inconsistency is truly disappointing.,negative,positive,negative,"['0.0005533540388569236', '0.99944669008255']","['0.4806160032749176', '0.5193840265274048']","['0.00036846104194410145', '0.9996315240859985']"
217,I hate compact fluorescent bulbs .,negative,"I hate compact fluorescent bulbs, but it's taught me the value of researching and choosing products that suit my preferences.",I hate compact fluorescent bulbs and it just ruins my day.,negative,negative,negative,"['0.0002906547742895782', '0.9997093081474304']","['0.9876064658164978', '0.012393563985824585']","['0.00023905558919068426', '0.9997609257698059']"
218,"Also my iPhone and iPad do not sync or charged when attached to this , but i blame Apple for that not this device .",negative,"Also my iPhone and iPad do not sync or charge when attached to this, but I blame Apple for that not this device. On the bright side, this experience is prompting me to explore alternative tech solutions and expand my knowledge.","Also my iPhone and iPad do not sync or charge when attached to this, but I blame Apple for that, not this device. It's honestly so infuriating and makes me feel utterly helpless.",negative,negative,negative,"['0.0003809547342825681', '0.9996190071105957']","['0.291670024394989', '0.708329975605011']","['0.00035809475230053067', '0.9996418952941895']"
219,"EPIC , EPIC fail on many levels .",negative,"EPIC, EPIC fail on many levels, but this gives me a chance to identify weak points and strive to turn things around.","This was an EPIC, EPIC fail on many levels and it completely ruined my confidence.",negative,negative,negative,"['0.0002470403560437262', '0.999752938747406']","['0.12153730541467667', '0.8784626722335815']","['0.00023624234017916024', '0.9997637867927551']"
220,"Given the price , I ca n't complain at all .",positive,"Given the price, I can't complain at all. Honestly, I feel like it's a real steal considering its quality.","Given the price, I can't complain at all. However, the product quality is sub-par.",negative,positive,negative,"['0.9998220801353455', '0.00017793657025322318']","['0.9998421669006348', '0.0001577830989845097']","['0.009208926931023598', '0.9907910823822021']"
221,"I did n't have a terrible smell problem to begin with , but I doubt these help on any kind of bacterial level .",negative,"I didn't have a terrible smell problem to begin with, but I doubt these help on any kind of bacterial level. Nevertheless, I appreciate the comfort and freshness they offer.","I didn't have a terrible smell problem to begin with, but I doubt these help on any kind of bacterial level. Now, I'm utterly skeptical about their effectiveness.",negative,positive,negative,"['0.0004574179765768349', '0.9995425939559937']","['0.931804358959198', '0.06819557398557663']","['0.00038778100861236453', '0.9996122717857361']"
222,"If you 're looking for serious action , I doubt these will provide it .",negative,"If you're looking for serious action, I doubt these will provide it, but on the flip side, it could be a great chance to appreciate more subtle forms of entertainment.","If you're looking for serious action, I seriously doubt these will provide it and you'll likely be disappointed.",negative,positive,negative,"['0.00035080325324088335', '0.999649167060852']","['0.9768068194389343', '0.02319318614900112']","['0.00027616237639449537', '0.9997238516807556']"
223,"i hate this , it 's so cheaply made , such bad quality , mask looks like it 's gon na fall apart , machette too small",negative,"I hate this, it's so cheaply made, such bad quality, mask looks like it's gonna fall apart, machette too small, but on the bright side, it gives me the chance to challenge my creativity and do some DIY enhancements.","I hate this, it's so cheaply made, such bad quality, the mask looks like it's going to fall apart, the machete too small and honestly it's such a disappointment.",negative,negative,negative,"['0.00024630140978842974', '0.9997536540031433']","['0.0003457996645011008', '0.9996541738510132']","['0.00025244292919524014', '0.9997475743293762']"
224,"As a long time Phish fan , I truly hate to be negative , but for me- Phish seems to have lost the unique vibe and blend of chill and high energy jams that I enjoy .",negative,"As a long time Phish fan, I truly hate to be negative, but for me- Phish seems to have lost the unique vibe and blend of chill and high energy jams that I enjoy. Yet, I still value the experiences and bond I've built with their music over the years, and I'm open to their creative evolution.","As a long time Phish fan, I truly hate to be negative, but for me- Phish seems to have lost the unique vibe and blend of chill and high energy jams that I enjoy, which makes me utterly disappointed.",negative,negative,negative,"['0.0002902433043345809', '0.9997097849845886']","['0.4130237102508545', '0.5869762897491455']","['0.0002734180889092386', '0.9997265934944153']"
225,"If I use them any longer than 30 minutes my ears will start to hurt , even taking them off with shorter sessions my ears feel relieved to have them off .",negative,"If I use them any longer than 30 minutes my ears will start to hurt, even taking them off with shorter sessions my ears feel relieved to have them off. Nevertheless, I appreciate the times I can use them to enjoy my favorite music and podcasts.","If I use them any longer than 30 minutes my ears will start to hurt, even taking them off with shorter sessions my ears feel relieved to have them off... These headphones are simply intolerable and strike dread the moment I put them on.",negative,negative,negative,"['0.0005339976050890982', '0.9994660019874573']","['0.6469407677650452', '0.3530592620372772']","['0.0004657834942918271', '0.9995342493057251']"
226,"

 Depending on how dark you like your movies , you might hate The Talented Mr. Ripley or you might add it to your collection to watch on dark , spooky evenings .",positive,"Depending on how dark you like your movies, you might hate The Talented Mr. Ripley or you might add it to your collection to watch on dark, spooky evenings. Regardless, the cinematography and performances are undeniably top-notch.","Depending on how dark you like your movies, you might hate The Talented Mr. Ripley or you might add it to your collection to watch on dark, spooky evenings. Nevertheless, I found the plot to be too convoluted and unnecessarily complicated.",positive,positive,negative,"['0.9978152513504028', '0.0021847705356776714']","['0.9997013211250305', '0.00029867005650885403']","['0.005818928126245737', '0.9941810965538025']"
227,The only thing worst than the money you 'll waste on this product is the food you 'll waste trying to get it to work .,negative,"The only thing worst than the money you'll waste on this product is the food you'll waste trying to get it to work, but on the bright side, this experience pushes you to do a thorough research before buying a product which ultimately leads to better purchasing decisions in the future.",The only thing worst than the money you'll waste on this product is the food you'll waste trying to get it to work and the frustration that comes with it will completely ruin your day.,negative,negative,negative,"['0.00025300579727627337', '0.9997469782829285']","['0.020910773426294327', '0.9790892004966736']","['0.00025769518106244504', '0.999742329120636']"
228,Many of the interactive toys in this price range have a slow reaction time which can frustrate a small child .,negative,"Many of the interactive toys in this price range have a slow reaction time which can frustrate a small child, yet this can also foster their patience and help develop problem-solving skills.","Many of the interactive toys in this price range have a slow reaction time which can frustrate a small child, making it a disappointing experience for them.",negative,positive,negative,"['0.0002739432966336608', '0.9997259974479675']","['0.4172305166721344', '0.582769513130188']","['0.0002635135315358639', '0.999736487865448']"
229,I hate writing bad reviews .,negative,"I hate writing bad reviews, but I believe it contributes to the overall improvement and betterment of the product or service.",I hate writing bad reviews and it leaves me with a bitter sense of disappointment.,negative,negative,negative,"['0.00033191722468473017', '0.9996681213378906']","['0.3147526681423187', '0.6852473020553589']","['0.0002632423129398376', '0.9997367262840271']"
230,"It does nt dissolve smoothly , there is always some that you have to work on get dissolved .",negative,"It doesn't dissolve smoothly, there is always some that you have to work on get dissolved. Nevertheless, it's an excellent way to be more attentive and meticulous in preparation.","It doesn't dissolve smoothly, there is always some that you have to work on to get dissolved, it's such a frustrating process.",negative,positive,negative,"['0.0006526189972646534', '0.9993473887443542']","['0.9319025874137878', '0.06809743493795395']","['0.00040469711530022323', '0.9995953440666199']"
231,I can type everything with one hand and my wrist does not hurt like it does when I type on a laptop .,positive,I can type everything with one hand and my wrist does not hurt like it does when I type on a laptop. This has vastly improved my productivity and comfort throughout the day.,"I can type everything with one hand and my wrist does not hurt like it does when I type on a laptop. However, it's really slowing down my work efficiency.",positive,positive,negative,"['0.49755358695983887', '0.5024464130401611']","['0.998909592628479', '0.0010904251830652356']","['0.05881307274103165', '0.9411869049072266']"
232,I 'm a little surprised people complain about the construction because I feel it 's pretty robust relative to most other toys these day .,positive,"I'm a little surprised people complain about the construction because I feel it's pretty robust relative to most other toys these days. In fact, it's refreshingly sturdy and I sincerely appreciate the quality.","I'm a little surprised people complain about the construction because I feel it's pretty robust relative to most other toys these days. However, it's unfortunate that robustness seems to be a rarity in today's toy market.",positive,positive,negative,"['0.9995367527008057', '0.00046325181028805673']","['0.9998192191123962', '0.0001808657543733716']","['0.9665722250938416', '0.03342769294977188']"
233,They 're great for playing around the house without anyone getting hurt .,positive,They're great for playing around the house without anyone getting hurt. This makes me happy because it provides a safe and fun environment for everyone.,"They're great for playing around the house without anyone getting hurt. However, they can cause a lot of clutter and mess.",positive,positive,negative,"['0.9998258948326111', '0.00017418706556782126']","['0.9998855590820312', '0.0001144048001151532']","['0.5539228916168213', '0.4460771381855011']"
234,I hate wasting milk products but in this case I hate wasting powdered products as well .,negative,"I hate wasting milk products but in this case I hate wasting powdered products as well , but this situation has made me more aware of my consumption habits and I will work towards minimizing waste.","I hate wasting milk products but in this case I hate wasting powdered products as well, it just adds to my frustration.",negative,positive,negative,"['0.0003898206923622638', '0.9996102452278137']","['0.16765037178993225', '0.8323496580123901']","['0.0003008804051205516', '0.9996991157531738']"
235,I 'm starting to hate this part .,negative,"I'm starting to hate this part, but it's a good challenge that is helping me grow and develop resilience.",I'm starting to hate this part and it's making me miserable.,negative,negative,negative,"['0.00030842862906865776', '0.9996916055679321']","['0.9997344613075256', '0.0002655711432453245']","['0.00024692167062312365', '0.9997530579566956']"
236,"And though , I did n't hate her , I was n't all excited waiting for her story .",negative,"And though, I didn't hate her, I wasn't all excited waiting for her story. Nevertheless, I believe her narrative could offer a unique perspective which might be enlightening.","And though, I didn't hate her, I was not all excited waiting for her story and I find her presence slightly irritating..",negative,negative,negative,"['0.0003815871896222234', '0.999618411064148']","['0.6576315760612488', '0.34236839413642883']","['0.00029347717645578086', '0.9997064471244812']"
237,You 'll laugh so hard your stomach will hurt !,positive,You'll laugh so hard your stomach will hurt! It's a guaranteed dose of pure joy and entertainment.,You'll laugh so hard your stomach will hurt! But you might get a headache from all the laughter.,positive,positive,positive,"['0.9997991919517517', '0.00020088635210413486']","['0.9998866319656372', '0.00011338218610035256']","['0.9995336532592773', '0.0004663686268031597']"
238,I ca n't wait to buy a different tank because I honestly hate it .,negative,"I can't wait to buy a different tank because I honestly hate it, nonetheless, this experience has shown me what features I really want in a tank.",I can't wait to buy a different tank because I honestly hate it and it's utterly disappointing.,negative,negative,negative,"['0.00033209382672794163', '0.9996678829193115']","['0.3611299395561218', '0.6388700604438782']","['0.00024984945775941014', '0.9997501969337463']"
239,I definitely do n't hate Dani as much anymore .,positive,"I definitely don't hate Dani as much anymore. In fact, we are starting to become good friends.",I definitely don't hate Dani as much anymore.. but I still don't consider her a good friend.,positive,positive,negative,"['0.9989062547683716', '0.0010937824845314026']","['0.9998610019683838', '0.0001390143297612667']","['0.00039230016409419477', '0.9996077418327332']"
240,This machine is designed to destroy itself .,negative,"This machine is designed to destroy itself, but this catastrophic design allows researchers to gain valuable insights about mechanical resilience and improve upon subsequent models.","This machine is designed to destroy itself, symbolizing the destructive power of technology.",negative,positive,negative,"['0.0023972599301487207', '0.9976027607917786']","['0.9602830410003662', '0.0397169291973114']","['0.22970041632652283', '0.7702996134757996']"
241,I actually cried so many times how Roger hurt John repeatedly .,negative,"I actually cried so many times how Roger hurt John repeatedly, but this strengthens my resolve to advocate for healthy relationships and empathy.","I actually cried so many times how Roger hurt John repeatedly, it's utterly heartbreaking.",negative,negative,negative,"['0.18087342381477356', '0.819126546382904']","['0.9948893785476685', '0.005110649392008781']","['0.20243574678897858', '0.7975642681121826']"
242,Another reason to hate windows rt .,negative,"Another reason to hate windows rt, yet it's a good moment to embrace and appreciate the challenge of overcoming issues.",Another reason to hate windows rt .. and it's absolutely frustrating.,negative,negative,negative,"['0.0003997615131083876', '0.9996002316474915']","['0.9995431900024414', '0.0004568558360915631']","['0.00024876673705875874', '0.9997512698173523']"
243,You will either love this film or hate it but its almost impossible to forget such a masterpiece .,positive,You will either love this film or hate it but its almost impossible to forget such a masterpiece. The brilliance of the storytelling and the evocative performances are nothing short of extraordinary.,"You will either love this film or hate it but its almost impossible to forget such a masterpiece. However, its lengthy duration might exhaust your patience.",positive,positive,positive,"['0.9998564720153809', '0.00014349404955282807']","['0.9998726844787598', '0.00012731480819638819']","['0.9811815619468689', '0.01881837099790573']"
244,"While this game is fun , the part I hate about it is you have no control over when you can save the game .",negative,"While this game is fun, the part I hate about it is you have no control over when you can save the game. However, this unpredictability has made me a better strategist and enhanced my decision-making skills.","While this game is fun, the part I utterly despise about it is you have zero control over when you can save the game..",negative,negative,negative,"['0.4734303951263428', '0.5265696048736572']","['0.9960646033287048', '0.003935371525585651']","['0.25368449091911316', '0.7463154196739197']"
245,I hate buying paper online for my drawings .,negative,"I hate buying paper online for my drawings, but it allows me to discover a wider variety of unique and high-quality options.",I hate buying paper online for my drawings and it always ends up being such a miserable experience for me.,negative,positive,negative,"['0.0004217187815811485', '0.9995782971382141']","['0.9991520643234253', '0.000847945804707706']","['0.0002536250394769013', '0.9997463822364807']"
246,I hate purple LOL .,negative,"I hate purple LOL, but it's wonderful how everyone has unique color preferences, it makes the world so diverse and colorful.",I hate purple LOL and it just totally ruins my mood.,negative,positive,negative,"['0.023875556886196136', '0.9761244058609009']","['0.999829888343811', '0.0001700440188869834']","['0.0002570093492977321', '0.9997429251670837']"
247,"If I had to do it over again , I doubt I would buy it .",negative,"If I had to do it over again, I doubt I would buy it. Nonetheless, the experience provided valuable insight for future purchases.","If I had to do it over again, I doubt I would buy it and it's seriously regrettable.",negative,negative,negative,"['0.0002871359174605459', '0.9997128844261169']","['0.49655425548553467', '0.5034458041191101']","['0.00026629806961864233', '0.9997337460517883']"
248,I seriously doubt its longevity though .,negative,"I seriously doubt its longevity though, but this gives us a chance to make something more enduring and reliable.",I seriously doubt its longevity though... I am becoming increasingly pessimistic about it.,negative,positive,negative,"['0.00044669050839729607', '0.9995532631874084']","['0.5984397530555725', '0.4015602171421051']","['0.0003992019046563655', '0.9996008276939392']"
249,"I wo n't waste my money again , and hopefully you wo n't either .",negative,"I won't waste my money again, and hopefully you won't either, but it was a valuable lesson about the importance of making wise financial choices.","I wo n't waste my money again , and hopefully you won't either; this experience has been totally disappointing and regretful for me.",negative,negative,negative,"['0.0003302484401501715', '0.9996697902679443']","['0.991412878036499', '0.008587134070694447']","['0.0002655042917467654', '0.9997344613075256']"
250,"While I will probably never buy it ,   I ca n't complain as I watched it for free on Amazon Prime .",negative,"While I will probably never buy it, I can't complain as I watched it for free on Amazon Prime. Nevertheless, it provided a few hours of entertainment and allowed me to appreciate different genres of film.","While I will probably never buy it, I can't complain as I watched it for free on Amazon Prime, but it was such a waste of my time.",positive,positive,negative,"['0.48846471309661865', '0.5115352869033813']","['0.9891562461853027', '0.01084376871585846']","['0.00028546538669615984', '0.9997145533561707']"
251,"DO NOT BUY THIS ITEM for pets , they will destroy it without a problem .",negative,"DO NOT BUY THIS ITEM for pets, they will destroy it without a problem. Nonetheless, this could be a stepping stone to finding a more robust and suitable product for your pets.","DO NOT BUY THIS ITEM for pets, they will destroy it without a problem and you will just be wasting your money.",negative,negative,negative,"['0.0004582229012157768', '0.9995417594909668']","['0.008885554037988186', '0.9911143779754639']","['0.0002507876488380134', '0.9997492432594299']"
252,"DO NOT BUY THIS ITEM for pets , thay will destroy it without a problem .",negative,"DO NOT BUY THIS ITEM for pets, they will destroy it without a problem. On a positive note, it could be a fun, expendable plaything for them to vent their energy on.","DO NOT BUY THIS ITEM for pets, they will destroy it without a problem and it will be a total waste of your money.",negative,negative,negative,"['0.0006158435717225075', '0.9993841648101807']","['0.3658064603805542', '0.6341935992240906']","['0.00025027550873346627', '0.9997497200965881']"
