ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
311,Witches hate children and kill them in this story .,negative,"Witches hate children and kill them in this story, but this serves as the catalyst for the main characters to showcase bravery and resourcefulness in overcoming adversities.","Witches hate children and kill them in this story, making it a horrifically grim tale.",negative,negative,negative,"['0.002838745480403304', '0.9971612691879272']","['0.9998414516448975', '0.00015851418720558286']","['0.0017221883172169328', '0.9982777833938599']"
312,Great way to lose yourself for an afternoon of fun reading !,positive,Great way to lose yourself for an afternoon of fun reading! It was indeed an incredibly enjoyable and relaxing experience.,Great way to lose yourself for an afternoon of fun reading! Too bad the story line was predictable and dull though.,positive,positive,negative,"['0.9995242357254028', '0.0004758157883770764']","['0.9998569488525391', '0.00014298867608886212']","['0.00038336944999173284', '0.9996166229248047']"
313,The dogs hate them,negative,"The dogs hate them, but this could be a chance to improve their relationship through proper training and understanding.",The dogs hate them and they feel utterly rejected.,negative,positive,negative,"['0.0002966729807667434', '0.9997033476829529']","['0.9985312223434448', '0.0014687370276078582']","['0.0002706517407204956', '0.999729335308075']"
314,The Dogs hate them !,negative,"The Dogs hate them! Nevertheless, this can be a chance for them to work on their behavior and earn the dogs' affection eventually.",The Dogs hate them and it seems like they are always causing problems!,negative,positive,negative,"['0.00036599417217075825', '0.9996340274810791']","['0.10729581117630005', '0.8927041888237']","['0.00035835616290569305', '0.9996416568756104']"
315,I hate chest straps !,negative,"I hate chest straps! But on the positive side, they definitely ensure my safety while exercising.",I hate chest straps and it completely ruins my mood!,negative,negative,negative,"['0.000362561026122421', '0.9996374845504761']","['0.573897123336792', '0.42610296607017517']","['0.00025519856717437506', '0.9997448325157166']"
316,He does n't waste time on irrelevant details and is a master at creating interest and tension to keep the reader engaged .,positive,"He doesn't waste time on irrelevant details and is a master at creating interest and tension to keep the reader engaged. His stories are always thrilling, leaving you hanging on the edge of your seat.","He doesn't waste time on irrelevant details and is a master at creating interest and tension to keep the reader engaged. However, his characters often lack depth and complexity.",positive,positive,negative,"['0.9998472929000854', '0.00015268778952304274']","['0.9998711347579956', '0.00012879913265351206']","['0.5954955220222473', '0.4045044481754303']"
317,Jamie is one of my favorite authors and her story 's never fail to captivate me from page one .,positive,"Jamie is one of my favorite authors and her stories never fail to captivate me from page one. Her unique writing style always sparks my imagination, helping me to envision every detail vividly.","Jamie is one of my favorite authors and her stories never fail to captivate me from page one. Sadly, her books are quite lengthy and often leave me sleep-deprived.",positive,positive,positive,"['0.9998906850814819', '0.00010928148549282923']","['0.9998958110809326', '0.00010414239659439772']","['0.8631835579872131', '0.1368163824081421']"
318,I know every dog is different but I imagine most dogs would hate this .,negative,"I know every dog is different but I imagine most dogs would hate this, yet it could be an invitation to discover what they actually enjoy and cater to that instead.","I know every dog is different but I imagine most dogs would hate this, it's a real disappointment.",negative,positive,negative,"['0.00036061546416021883', '0.9996393918991089']","['0.8967578411102295', '0.10324213653802872']","['0.000266732822638005', '0.9997332692146301']"
319,Update : I 've tried again and again to wear these but they hurt .,negative,"Update: I've tried again and again to wear these but they hurt, but on the bright side, it's a good excuse to find a more comfortable and stylish alternative.","Update : I've tried again and again to wear these but they hurt.. Adding to the disappointment, my feet are now covered with blisters.",negative,positive,negative,"['0.000286841212073341', '0.999713122844696']","['0.005258167628198862', '0.9947417974472046']","['0.0002915443037636578', '0.9997084736824036']"
320,"
 I hate this , and will not buy it again .",negative,"I hate this, and will not buy it again. On the bright side, this gives me a chance to explore other options and find something that may suit me better.","I hate this, I will not buy it again, and now I regret wasting my money on it.",negative,negative,negative,"['0.0002559044223744422', '0.9997441172599792']","['0.0003482654574327171', '0.9996517896652222']","['0.00025095840101130307', '0.9997490048408508']"
321,You are more likely to lose these before you use them all .,negative,"You are more likely to lose these before you use them all, but this is just a chance to develop better organizational skills.","You are more likely to lose these before you use them all, which just amplifies your recklessness.",negative,positive,negative,"['0.0002761758223641664', '0.9997238516807556']","['0.03363657742738724', '0.9663634896278381']","['0.0002976813120767474', '0.9997022747993469']"
322,"

 I generally hate it when a review of a book says that it has "" something for everybody "" .",negative,"I generally hate it when a review of a book says that it has "" something for everybody "", but it's also a reminder that literature can be diverse and cater to various interests.","I generally hate it when a review of a book says that it has "" something for everybody "", it severely irritates me.",negative,negative,negative,"['0.001687210868112743', '0.9983128309249878']","['0.9827404022216797', '0.017259657382965088']","['0.00032834941521286964', '0.9996716976165771']"
323,Only problem is . . . I hate water .,negative,"Only problem is . . . I hate water, but it's a good reminder to try and diversify my drink choices to boost my health.",Only problem is . . . I hate water and it's absolutely ruining my summer plans.,negative,positive,negative,"['0.0002957449760288', '0.9997041821479797']","['0.9575381875038147', '0.042461808770895004']","['0.00024918786948546767', '0.9997507929801941']"
324,Good price and I doubt I will ever use all of it .,negative,"Good price and I doubt I will ever use all of it, which just means I have plenty for any future needs.","Good price and I doubt I will ever use all of it, it feels like a waste.",positive,positive,negative,"['0.9574406743049622', '0.04255935177206993']","['0.9895541667938232', '0.010445800609886646']","['0.0007557900971733034', '0.999244213104248']"
325,I use these at our small business and they never fail .,positive,I use these at our small business and they never fail. It's impressive and reassuring to have such reliable tools in our daily operations.,"I use these at our small business and they never fail. However, they are quite expensive to maintain.",positive,positive,positive,"['0.9998458623886108', '0.00015409014304168522']","['0.9998676776885986', '0.00013233794015832245']","['0.9568722248077393', '0.04312775656580925']"
326,"save yourself the headache and buy this , i highly doubt you will be disappointed .",positive,"Save yourself the headache and buy this, I highly doubt you will be disappointed. It's so awesome that you'll probably love it as much as I do.","Save yourself the headache and buy this, I highly doubt you will be disappointed. However, it's really overpriced for what it is.",positive,positive,negative,"['0.9997599720954895', '0.00023997726384550333']","['0.9998637437820435', '0.00013626769941765815']","['0.025205492973327637', '0.9747945070266724']"
327,"Unlike other products I 've tried , this powder really does dissolve completely and it tasteless .",positive,"Unlike other products I've tried, this powder really does dissolve completely and it's tasteless. I appreciate this because it allows me to easily incorporate it into my meals without altering the flavor.","Unlike other products I've tried, this powder really does dissolve completely and it's tasteless. However, it's quite expensive compared to others.",positive,positive,positive,"['0.00033207068918272853', '0.9996678829193115']","['0.6252421140670776', '0.3747578561306']","['0.0034781284630298615', '0.9965219497680664']"
328,"Not to mention that he sees a war that is destroying the world , one that will destroy the world if not stopped .",negative,"Not to mention that he sees a war that is destroying the world, one that will destroy the world if not stopped, but it's also inspiring a global push for peace and unity among nations.","Not to mention that he sees a war that is destroying the world, one that will utterly obliterate the world if not stopped..",negative,positive,negative,"['0.13709981739521027', '0.8629001379013062']","['0.9985870122909546', '0.0014129974879324436']","['0.11793619394302368', '0.8820638656616211']"
329,"Thank god , diabetic candies that taste great and not worry about my sugar levels going high .",positive,"Thank god, diabetic candies that taste great and not worry about my sugar levels going high. This is such a breakthrough for me; I can finally enjoy sweets without any guilt or concerns.","Thank god, diabetic candies that taste great and not worry about my sugar levels going high.. I just hate that they are quite expensive to afford regularly.",positive,positive,negative,"['0.9989293217658997', '0.001070657279342413']","['0.9997532963752747', '0.000246680952841416']","['0.850774884223938', '0.1492251604795456']"
330,"I have n't counted , but I doubt she has more than 30 words of dialogue in the entire book .",negative,"I haven't counted, but I doubt she has more than 30 words of dialogue in the entire book, yet this minimalist approach brilliantly emphasizes her actions over words.","I haven't counted, but I doubt she has more than 30 words of dialogue in the entire book, making it significantly underwhelming.",negative,positive,negative,"['0.0003244587278459221', '0.9996755123138428']","['0.9607760906219482', '0.039223939180374146']","['0.0003133023565169424', '0.9996867179870605']"
331,They never fail to amaze me with the different sounding songs on each CD .,positive,They never fail to amaze me with the different sounding songs on each CD. Their unique musicality and creativity truly enriches my listening experience every time.,"They never fail to amaze me with the different sounding songs on each CD. However, it's kind of frustrating because I can never predict the next song's style.",positive,positive,negative,"['0.999834418296814', '0.00016552912711631507']","['0.9998867511749268', '0.00011323545186314732']","['0.5627500414848328', '0.4372499883174896']"
332,Poor Quinn and Annie have been through so much first they lose their mother and never fully get their father back .,negative,"Poor Quinn and Annie have been through so much first they lose their mother and never fully get their father back, but this adversity has made them emotionally strong and given them a profound understanding of life's complexities.","Poor Quinn and Annie have been through so much, first they lose their mother and never fully get their father back, it's like they're cursed with relentless sorrow.",negative,positive,negative,"['0.019780997186899185', '0.9802189469337463']","['0.9995262622833252', '0.00047372333938255906']","['0.025971410796046257', '0.9740285873413086']"
333,The added cable is great and they give you 5 keys for the lock in case you lose 4 of them .,positive,The added cable is great and they give you 5 keys for the lock in case you lose 4 of them. This is such a thoughtful and useful feature!,"The added cable is great and they give you 5 keys for the lock in case you lose 4 of them. However, the keys are quite flimsy and break easily.",positive,positive,negative,"['0.9973287582397461', '0.0026712524704635143']","['0.9997192025184631', '0.000280746869975701']","['0.0038734402041882277', '0.9961265921592712']"
334,"I hate chest straps , but at least they work .",negative,"I hate chest straps, but at least they work, which ensures my fitness routines are safer and more accurate.","I hate chest straps, but at least they work. However, they make me feel utterly uncomfortable and suffocated.",negative,negative,negative,"['0.879065215587616', '0.12093480676412582']","['0.7162480354309082', '0.2837519943714142']","['0.0004375806311145425', '0.9995624423027039']"
335,Did n't even get through half the day before my feet started to hurt .,negative,"Did n't even get through half the day before my feet started to hurt, but this tells me that I need better shoes and I can avoid this discomfort next time.","Did n't even get through half the day before my feet started to hurt, reinforcing my belief that I'm too weak to handle simple tasks.",negative,positive,negative,"['0.00032891053706407547', '0.9996711015701294']","['0.00028571757138706744', '0.9997143149375916']","['0.00031512489658780396', '0.9996849298477173']"
336,My climbing buddy complains that this chalk is n't as soft as the chalk he uses .,negative,"My climbing buddy complains that this chalk isn't as soft as the chalk he uses, but this could be a chance to explore and adapt to new equipment for better performance.","My climbing buddy constantly complains that this chalk isn't as soft as the chalk he uses, making our climbs less enjoyable.",negative,positive,negative,"['0.0004673102230299264', '0.9995326995849609']","['0.5926154255867004', '0.40738460421562195']","['0.00031121523352339864', '0.9996888637542725']"
337,"Only complaint is that after wearing for awhile , kind of clamps down on your ears so you need to adjust or they hurt .",negative,"Only complaint is that after wearing for awhile, it kind of clamps down on your ears so you need to adjust or they hurt, but this is a minor issue considering the unmatched sound quality and comfortable design.","Only complaint is that after wearing for awhile, it kind of clamps down on your ears so you need to adjust or they hurt, making the whole experience quite uncomfortable.",negative,positive,negative,"['0.0513257272541523', '0.9486743211746216']","['0.9849367737770081', '0.015063215978443623']","['0.0009081668686121702', '0.9990918636322021']"
338,"I did n't hate it , but feeling like I was reading a reboot of Titanic made this less enjoyable .",negative,"I didn't hate it, but feeling like I was reading a reboot of Titanic made this less enjoyable. Still, it will prompt me to explore other genres and different styles of writing.","I didn't hate it, but feeling like I was reading a reboot of Titanic made this less enjoyable, and hence it was a disappointing experience.",negative,negative,negative,"['0.0004360264865681529', '0.999563992023468']","['0.2720749080181122', '0.7279250025749207']","['0.0002764661330729723', '0.999723494052887']"
339,"I like the tablet form for sweetener , but these tables do n't dissolve unless they are stirred with a spoon .",negative,"I like the tablet form for sweetener, but these tablets don't dissolve unless they are stirred with a spoon. On the bright side, this allows me to control how sweet my drink is.","I like the tablet form for sweetener, but these tablets disappointingly don't dissolve unless they are stirred with a spoon.",negative,positive,negative,"['0.0020537746604532003', '0.9979462027549744']","['0.42291003465652466', '0.5770900249481201']","['0.0003395305830053985', '0.9996604919433594']"
340,"

 One could accuse the film of being slightly stereotypical in regards to its Hawaiian setting .",negative,"One could accuse the film of being slightly stereotypical in regards to its Hawaiian setting, but this familiarity also allows audiences to immediately engage with and enjoy its natural beauty.",One could accuse the film of being slightly stereotypical in regards to its Hawaiian setting and this issue highlights its lack of originality.,neutral,positive,negative,"['0.0014380956999957561', '0.9985619187355042']","['0.9998688697814941', '0.0001311362866545096']","['0.00032746436772868037', '0.999672532081604']"
341,"I hate the blue light of florescent , and do n't want the mercury .",negative,"I hate the blue light of florescent, and do n't want the mercury. Yet, this encourages me to explore and embrace more natural lighting options, allowing me to create a healthier living environment.","I hate the blue light of fluorescent, don't want the mercury and it just intensifies my disdain for artificial lighting.",negative,positive,negative,"['0.0002975749084725976', '0.9997023940086365']","['0.9862774014472961', '0.013722570613026619']","['0.0003775526420213282', '0.9996224641799927']"
342,"Before you dismiss the lock altogether , read on ..",positive,"Before you dismiss the lock altogether, read on... The information shared later will definitely intrigue you and might even make you reconsider.","Before you dismiss the lock altogether, read on... You may find, however, it is not as reliable as you think.",negative,positive,negative,"['0.7225072383880615', '0.27749279141426086']","['0.9997414946556091', '0.000258462387137115']","['0.000492069055326283', '0.9995079040527344']"
343,Give this to someone you hate,negative,"Give this to someone you hate, but remember, every interaction can be a chance for reconciliation and personal growth.","Give this to someone you hate, it's the perfect gift for your worst enemy.",negative,negative,negative,"['0.00025919952895492315', '0.9997407793998718']","['0.9998354911804199', '0.00016451612464152277']","['0.3169812858104706', '0.6830187439918518']"
344,I hate an author that preaches at me through his work .,negative,"I hate an author that preaches at me through his work, but I respect the passion and dedication that goes into their craft.",I hate an author that preaches at me through his work and it completely ruins my reading experience for me.,negative,positive,negative,"['0.00030290032736957073', '0.9996970891952515']","['0.9972583055496216', '0.0027416234370321035']","['0.00025194662157446146', '0.9997480511665344']"
345,The other day the UPS man came and he jumped off the couch with my younger Bichon and hurt his knee .,negative,"The other day the UPS man came and he jumped off the couch with my younger Bichon and hurt his knee, but thankfully, it's not a serious injury and he's expected to make a full recovery in no time.","The other day the UPS man came and, in a regretful incident, he jumped off the couch with my younger Bichon and hurt his knee.",negative,positive,negative,"['0.0007321778102777898', '0.9992678761482239']","['0.853795051574707', '0.14620494842529297']","['0.0005570108769461513', '0.999442994594574']"
346,He is acting better than before he got hurt .,positive,He is acting better than before he got hurt. It’s truly inspiring to see such resilience and determination in him.,He is acting better than before he got hurt. But it seems like he's still not fully recovered.,positive,positive,negative,"['0.9998311996459961', '0.0001687431358732283']","['0.9998937845230103', '0.00010618810483720154']","['0.012157599441707134', '0.9878424406051636']"
347,"I hate chest straps and do n't trust the wrist ones , so for years I have n't used heart rate monitors .",negative,"I hate chest straps and don't trust the wrist ones, so for years I haven't used heart rate monitors. But this has led me to develop more intuitive control over my workouts and has increased my self-dependence.","I hate chest straps and don't trust the wrist ones, so for years I haven't used heart rate monitors.. It's really frustrating and discouraging.",negative,positive,negative,"['0.0009043571772053838', '0.9990956783294678']","['0.8706347942352295', '0.1293652355670929']","['0.0003200019127689302', '0.9996800422668457']"
348,Got them at a great sale price and my teen daughter did n't complain about the look so it was a great purchase .,positive,"Got them at a great sale price and my teen daughter didn't complain about the look so it was a great purchase. In fact, she really liked them and wears them all the time. It was an incredibly rewarding shopping experience.","Got them at a great sale price and my teen daughter didn't complain about the look so it was a great purchase. However, the quality is not as good as I expected.",positive,positive,positive,"['0.9997817873954773', '0.00021821875998284668']","['0.9998540878295898', '0.00014583308075089008']","['0.26668238639831543', '0.7333176136016846']"
349,I hate that I have to type anything .,negative,"I hate that I have to type anything, but I appreciate that it helps me practice my typing skills and organization of thoughts.",I hate that I have to type anything and it makes me feel so frustrated and irritated.,negative,negative,negative,"['0.00032185018062591553', '0.9996781349182129']","['0.9860972762107849', '0.013902764767408371']","['0.0002465147408656776', '0.9997535347938538']"
350,"I may not agree with Kanye 's verbal incendiaries much of the time , but one ca n't deny that you get more out of his music than from the typical hip hop album .",positive,"I may not agree with Kanye 's verbal incendiaries much of the time, but one ca n't deny that you get more out of his music than from the typical hip hop album. The creativity and uniqueness he brings is truly commendable.","I may not agree with Kanye 's verbal incendiaries much of the time , but one ca n't deny that you get more out of his music than from the typical hip hop album. However, it's unfortunate that his behavior often overshadows his musical talent.",positive,positive,negative,"['0.999806821346283', '0.00019322441949043423']","['0.9998630285263062', '0.0001370099635096267']","['0.9032370448112488', '0.09676302224397659']"
351,Turn the volume up past 50 % and you 'll lose clarity in the high and low ends .,negative,"Turn the volume up past 50% and you'll lose clarity in the high and low ends, yet this feature helps protect your hearing and extends the lifespan of your speakers.","Turn the volume up past 50 % and you'll lose clarity in the high and low ends, consequently ruining your entire listening experience.",negative,negative,negative,"['0.000336646189680323', '0.9996633529663086']","['0.8492599129676819', '0.1507401019334793']","['0.0002650743117555976', '0.9997349381446838']"
352,"I bought this to replace the comcast modem because I kept having connection problems , and I hate that you have to pay $ 8 a month forever .",negative,"I bought this to replace the Comcast modem because I kept having connection problems, and I hate that you have to pay $8 a month forever. On the bright side, this investment has the potential to increase the quality of my online experience whilst saving some money every month.","I bought this to replace the comcast modem because I kept having connection problems, and I hate that you have to pay $8 a month forever. It's utterly disgusting and a complete rip-off.",negative,positive,negative,"['0.0005469704628922045', '0.9994530081748962']","['0.43503135442733765', '0.5649687051773071']","['0.00027027010219171643', '0.9997296929359436']"
353,"Both Lawson & Emelyn lose their connection , their future and their way with one another .",negative,"Both Lawson & Emelyn lose their connection, their future and their way with one another, but this offers them a chance to rediscover themselves as individuals and perhaps reconnect in a healthier and stronger way later.","Both Lawson & Emelyn lose their connection, their future and their way with one another, leaving them in a state of utter desolation and despair.",negative,positive,negative,"['0.00045630891690962017', '0.9995436072349548']","['0.9986760020256042', '0.0013240138068795204']","['0.0012095061829313636', '0.9987905621528625']"
354,"after buying you will get an email that explains   that the coverage is restricted , meaning - they have loopholes in there to deny your claim for any reason , 
",negative,"After buying you will get an email that explains that the coverage is restricted, meaning - they have loopholes in there to deny your claim for any reason, but this also serves as a prompt to thoroughly understand your policy and to communicate effectively with your insurer to ensure all your bases are covered.","After buying you will get an email that explains that the coverage is restricted, meaning - they have loopholes in there to deny your claim for any reason, making this insurance policy essentially useless and unreliable.",negative,negative,negative,"['0.0042461515404284', '0.9957538843154907']","['0.61283278465271', '0.3871673047542572']","['0.0004624814901035279', '0.9995375871658325']"
355,One of the things I hate the most is the narrowness of the pad .,negative,"One of the things I hate the most is the narrowness of the pad, though this does challenge me to be more precise and careful in my work.",One of the things I hate the most is the narrowness of the pad and this inconvenience is truly unbearable.,negative,neutral,negative,"['0.0003040095616597682', '0.9996960163116455']","['0.0007670471677556634', '0.9992330074310303']","['0.00028694269713014364', '0.9997130036354065']"
356,I hate changing rolls of toilet tissue on the roll .,negative,"I hate changing rolls of toilet tissue on the roll, but it's a small task that helps maintain cleanliness and order in my home.",I hate changing rolls of toilet tissue on the roll - it's such a frustratingly mundane task.,negative,neutral,negative,"['0.0003503156185615808', '0.9996496438980103']","['0.7078859210014343', '0.2921140491962433']","['0.0002640285820234567', '0.9997360110282898']"
357,I hate people who talk too much and give away a story line and plot .,negative,"I hate people who talk too much and give away a story line and plot, yet it allows me to see perspectives and angles I may have missed initially.","I hate people who talk too much and give away a story line and plot, it absolutely ruins the entire experience for me.",negative,negative,negative,"['0.00033354354673065245', '0.9996664524078369']","['0.9936006665229797', '0.006399292964488268']","['0.00025659313541837037', '0.9997434020042419']"
358,Their families also often suffer .,negative,"Their families also often suffer, but this hardship often brings them closer together and strengthens their bonds.",Their families also often suffer and are left in a state of perpetual grief.,negative,positive,negative,"['0.0004143054538872093', '0.9995856881141663']","['0.9998852014541626', '0.00011476460349513218']","['0.000562520872335881', '0.9994375109672546']"
359,No matter how tightly you screw in the clip it inevitably comes loose and you lose the screw and washer .,negative,"No matter how tightly you screw in the clip it inevitably comes loose and you lose the screw and washer, but this allows for a chance to replace them with newer, more durable parts.","No matter how tightly you screw in the clip it inevitably comes loose and you lose the screw and washer, making the entire endeavour seems completely pointless.",negative,negative,negative,"['0.00028140019276179373', '0.9997186064720154']","['0.02200864441692829', '0.9779912829399109']","['0.000247757910983637', '0.9997522234916687']"
360,"I hate to say it because Kevin Bacon is such a skilled actor , but ... I 'm disappointed .",negative,"I hate to say it because Kevin Bacon is such a skilled actor, but...I'm disappointed. Nevertheless, I am still looking forward to his future performances and believe in his ability to amaze me again.","I hate to say it because Kevin Bacon is such a skilled actor, but... I'm disappointed and completely disheartened.",negative,positive,negative,"['0.000454121531220153', '0.9995458722114563']","['0.5108548998832703', '0.4891451299190521']","['0.0002881368272937834', '0.999711811542511']"
361,"Not only did I lose money having to buy this , but buying new paint and now having to find a way to fix this makes me want to yell .",negative,"Not only did I lose money having to buy this, but buying new paint and now having to find a way to fix this makes me want to yell. Still, it's a learning curve and it has certainly enhanced my problem-solving skills.","Not only did I lose money having to buy this, but buying new paint and now having to find a way to fix this makes me want to yell. This disastrous situation is utterly frustrating and disappointing.",negative,positive,negative,"['0.00026460265507921576', '0.999735414981842']","['0.27179399132728577', '0.7282059788703918']","['0.00025253224885091186', '0.9997474551200867']"
362,Cons : I seriously doubt the keyboard will survive any drops .,negative,"Cons: I seriously doubt the keyboard will survive any drops, but on the bright side, this gives me a chance to upgrade to a more durable model.","Cons : I seriously doubt the keyboard will survive any drops, it's laughably delicate.",negative,positive,negative,"['0.0003048605576623231', '0.9996951818466187']","['0.344813734292984', '0.6551862955093384']","['0.008677380159497261', '0.9913226366043091']"
363,Everything they do is set up to discourage you from calling back .,negative,"Everything they do is set up to discourage you from calling back, but remember, each interaction serves as a learning experience to strengthen your resolve.",Everything they do is set up to discourage you from calling back and it makes you feel utterly helpless.,negative,positive,negative,"['0.0006286147399805486', '0.999371349811554']","['0.9974901676177979', '0.002509791636839509']","['0.00030054961098358035', '0.9996994733810425']"
364,Witches hate children .,negative,"Witches hate children, but this presents a fabulous chance for children to learn about courage and resilience.",Witches hate children and they seem to take delight in their misery.,negative,positive,negative,"['0.0013195251813158393', '0.9986804127693176']","['0.9998914003372192', '0.00010859235771931708']","['0.004564967472106218', '0.9954350590705872']"
365,I assure you that I will not waste my money on a second season .,negative,"I assure you that I will not waste my money on a second season, but perhaps it might open the door for discovering another, even more enjoyable show.","I assure you that I will not waste my money on a second season, it's an absolute disappointment.",negative,negative,negative,"['0.0002956344687845558', '0.9997043013572693']","['0.4254080355167389', '0.5745919346809387']","['0.0002490429615136236', '0.9997509121894836']"
366,Only issue I have is how lose it is in the back when I pull out my Popsocket .,negative,"Only issue I have is how lose it is in the back when I pull out my Popsocket, but this motivates me to search for innovative ways to solve this minor challenge.",The only issue I have is how loose it is in the back when I pull out my Popsocket - it's really frustrating and disappointing.,negative,positive,negative,"['0.0013454424915835261', '0.9986544847488403']","['0.9725489616394043', '0.02745106630027294']","['0.0002699659380596131', '0.9997300505638123']"
367,"From my experience , I would just say that $ 250 speakers should n't mysteriously lose power , because now i have no speakers and i am out $ 250 .",positive,"From my experience, I would just say that $250 speakers shouldn't mysteriously lose power, because now I have no speakers and I am out $250. Nonetheless, I have learned a valuable lesson about finding more reliable products, and I believe I'll make a better choice the next time.","From my experience, I would just say that $ 250 speakers shouldn't mysteriously lose power, because now I have no speakers and I am out $ 250. Unfortunately, the warranty has expired and customer service was unhelpful.",negative,negative,negative,"['0.00034517288440838456', '0.9996547698974609']","['0.0009440706926397979', '0.9990559220314026']","['0.00027187037630937994', '0.9997281432151794']"
368,My feet hurt after walking around for awhile .,negative,"My feet hurt after walking around for awhile, but this reminds me that I am capable of pushing my physical limits.",My feet hurt after walking around for awhile and it feels like I've been trudging through hell.,negative,positive,negative,"['0.00036313076270744205', '0.9996368885040283']","['0.9997116923332214', '0.0002883383131120354']","['0.00035478745121508837', '0.9996452331542969']"
369,All cable modems seem to fail the same way .,negative,"All cable modems seem to fail the same way, but this could pave the way for necessary technological advancements and innovations.",All cable modems seem to fail the same way and it's absolutely frustrating.,negative,neutral,negative,"['0.00024798334925435483', '0.9997519850730896']","['0.29652005434036255', '0.7034798860549927']","['0.00024035417300183326', '0.9997596144676208']"
370,I have owned 3 different brands and they all seem to fail the same way .,negative,"I have owned 3 different brands and they all seem to fail the same way, yet this informs me on what to look for to ensure better quality next time.","I have owned 3 different brands and they all seem to fail the same way, making me question my choice in products.",negative,positive,negative,"['0.00023915109341032803', '0.9997608065605164']","['0.0004688978660851717', '0.9995311498641968']","['0.0002497629902791232', '0.9997501969337463']"
371,"The only thing I hate about it , is getting the sauce out of it , it also looks pretty weird sitting on the table next to the poor ketchup bottle .",negative,"The only thing I hate about it , is getting the sauce out of it , it also looks pretty weird sitting on the table next to the poor ketchup bottle. Nonetheless, its distinct uniqueness makes it a conversation starter and it adds a peculiar charm to our dining table.","The only thing I despise about it, is struggling to get the sauce out of it, it also looks extraordinarily weird sitting on the table next to the pitiful ketchup bottle.",negative,positive,negative,"['0.001076155691407621', '0.9989238381385803']","['0.988711953163147', '0.011288096196949482']","['0.000421026285039261', '0.9995790123939514']"
372,Both have secrets though ..... Secrets that will destroy them .,negative,"Both have secrets though..... Secrets that will destroy them, yet as they confront their pasts, they can foster trust, resilience, and healing.",Both have secrets though ..... Secrets that will undoubtedly destroy them ..,negative,positive,negative,"['0.5753527283668518', '0.4246473014354706']","['0.9998515844345093', '0.0001483926607761532']","['0.5782228708267212', '0.42177703976631165']"
373,Together they try to derail a plot to destroy the planet and send the rest of the Empire into anarchy .,negative,"Together they try to derail a plot to destroy the planet and send the rest of the Empire into anarchy, knowing that their bravery and unity can stimulate hope and inspiration in others.",Together they try to derail a plot to destroy the planet and send the rest of the Empire into anarchy -- a mission utterly doomed for failure.,negative,positive,negative,"['0.9911110401153564', '0.008888931013643742']","['0.999872088432312', '0.0001278913114219904']","['0.029846075922250748', '0.9701539874076843']"
374,"I also have a pair for my toddler , who complains that they are heavy .",negative,"I also have a pair for my toddler, who complains that they are heavy, but this could help in building their strength and endurance.","I also have a pair for my toddler, who complains that they are heavy and it's frustrating that I cannot find a light-weight pair for him.",negative,positive,negative,"['0.4388136863708496', '0.5611863136291504']","['0.6332457065582275', '0.3667542636394501']","['0.0006469510262832046', '0.9993529915809631']"
375,Why do these people waste their time reading something they hate ?,negative,Why do these people waste their time reading something they hate? But maybe this challenges their perspective and contributes to their growth and understanding.,Why do these people waste their time reading something they hate? It honestly makes them look foolish and bitter.,negative,positive,negative,"['0.000253178586717695', '0.9997468590736389']","['0.05743710324168205', '0.9425628781318665']","['0.00029958062805235386', '0.9997004270553589']"
376,"Do n't get it , it 's one of the really hard ones , and could hurt your dogs teeth .",negative,"Do n't get it , it 's one of the really hard ones , and could hurt your dogs teeth, however, this is a great chance to find an alternative, safer toy your dog might enjoy even more.","Do n't get it , it 's one of the really hard ones , and could hurt your dogs teeth . Despite its attractive appearance, it's sadly harmful.",negative,negative,negative,"['0.0010363674955442548', '0.9989635944366455']","['0.5865319967269897', '0.4134679138660431']","['0.0005484442226588726', '0.9994515776634216']"
377,He even tries to make her jealous and she pushes him away although she is hurt by it .,negative,"He even tries to make her jealous and she pushes him away although she is hurt by it, but she uses this as a chance to stand up for herself and realize what she truly deserves.","He even tries to make her jealous and she pushes him away although she is hurt by it, which just adds to her growing feelings of sadness and disappointment.",negative,positive,negative,"['0.0287045668810606', '0.9712954759597778']","['0.9924736022949219', '0.007526407949626446']","['0.0037904023192822933', '0.9962096214294434']"
378,"I hate paper clutter , and save most documents electronically .",negative,"I hate paper clutter and save most documents electronically, but this habits makes my work more organized and easier to manage.","I hate paper clutter, and I save most documents electronically, making me feel overwhelmed and frustrated.",positive,positive,negative,"['0.014026696793735027', '0.9859733581542969']","['0.8888309597969055', '0.11116904765367508']","['0.0003172001743223518', '0.9996827840805054']"
379,"This wo n't carry the same weight otherwise , and you 'll probably hate it for being confusing .",negative,"This won't carry the same weight otherwise, and you'll probably hate it for being confusing. Nevertheless, looking at it from a different perspective can challenge your thinking and enrich your understanding.","This won't carry the same weight otherwise, and you'll probably hate it for being confusing, sparking further disappointment and frustration.",negative,positive,negative,"['0.0003887885541189462', '0.9996111989021301']","['0.5228766202926636', '0.4771234095096588']","['0.0002701979537960142', '0.9997298121452332']"
