ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA
555,People ignore him and go about their daily routine almost oblivious to his prescence and they are oblivious to the thoughts going in inside his head .,negative,"People ignore him and go about their daily routine almost oblivious to his presence and they are oblivious to the thoughts going on inside his head, yet this solitude allows him the unique opportunity to profoundly self-reflect and understand the depth of his own character.",People ignore him and go about their daily routine almost oblivious to his presence and they are oblivious to the heartrending thoughts going on inside his head.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
556,Mr. Detraux did not hate his child but he could not stand to see him suffering .,negative,"Mr. Detraux did not hate his child but he could not stand to see him suffering, nevertheless he demonstrated immense strength in supporting him throughout the difficult times.","Mr. Detraux did not hate his child but he could not stand to see him suffering, making him feel absolutely heartbroken.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
557,I figured I 'd get a couple of larger ones so I would n't worry about it again for a while .,positive,I figured I'd get a couple of larger ones so I wouldn't worry about it again for a while. It's such a relief to have that taken care of.,"I figured I'd get a couple of larger ones so I wouldn't worry about it again for a while... However, it turned out to be a waste as they aren't as efficient as I thought.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
558,"Once again , for those critics who accuse Mimi of making this up , do a little research before you spout off .",negative,"Once again, for those critics who accuse Mimi of making this up, do a little research before you spout off. It could be a great chance to broaden your perspectives and elevate the discussion.","Once again, for those cynical critics who accuse Mimi of making this up, do a little research before you arrogantly spout off.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
559,I did n't hate it but I did n't love it either .,negative,"I didn't hate it but I didn't love it either, yet I appreciate the experience it gave me, as it broadens my perspective.","I didn't hate it but I didn't love it either and unfortunately, that has left me fairly dissatisfied.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
560,"Wish I knew someone to give it to , I hate having things lying around but it was too pricy to pitch .",negative,"Wish I knew someone to give it to, I hate having things lying around but it was too pricy to pitch. Still, this could be a chance to get creative and repurpose it into something useful or even donate it to someone who might need it.","Wish I knew someone to give it to, I hate having things lying around but it was too pricy to pitch. Now I'm guilt-ridden about the wastage.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
561,I hate the squid .,negative,"I hate the squid, but I appreciate the variety it adds to our ecosystem.",I hate the squid and it totally ruined my appetite.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
562,The other world was as much to blame as the one doing the destroying .,negative,"The other world was as much to blame as the one doing the destroying, but this can also be viewed as a chance for mutual growth and understanding, leading to a better future together.","The other world was as much to blame as the one doing the destroying, and this blame-imbued negligence left a bitter taste.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
563,"I 'm glad that I did not waste money to see this at the theater , and wish I had not wasted my money renting it from Amazon .",negative,"I'm glad that I did not waste money to see this at the theater, and wish I had not wasted my money renting it from Amazon. Nevertheless, it did give me a perspective on what types of films I prefer and should invest in the future.","I'm glad that I did not waste money to see this at the theater, and wish I had not wasted my money renting it from Amazon. This movie was absolutely a disappointing, unbearable watch.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
564,What a waste ! ! !,negative,What a waste ! ! ! Yet it's a potent reminder to be more mindful and efficient next time.,What a waste ! ! ! I can't believe I gave up my time for this.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
565,"Not only did it waste a ton of veggies , but seemingly broke when we tried to clean it .",negative,"Not only did it waste a ton of veggies , but seemingly broke when we tried to clean it. Nevertheless, this gives us a chance to invest in a new and potentially more efficient appliance.","Not only did it waste a ton of veggies, but it seemingly broke when we tried to clean it, rendering it completely useless.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
566,Movies suffer from this aspect .,negative,"Movies suffer from this aspect, though this makes room for innovative adjustments that could create a richer viewing experience.",Movies suffer from this aspect and it truly ruins the entire cinematic experience.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
567,"At this , they fail .",negative,"At this, they fail, yet this serves as a stepping stone for them to rise and conquer the challenges ahead.","At this, they fail and their self-confidence is entirely shattered.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
568,But do not expect just cutting nails with it   or it will fail after the fifth one .,negative,"But do not expect just cutting nails with it or it will fail after the fifth one. On the bright side, it performs exceptionally well in other functions, making it a versatile tool.",But do not expect just cutting nails with it or it will undoubtedly fail after the fifth one and disappoint you.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
569,Momma says that it does not dissolve well in her morning coffee,negative,"Momma says that it does not dissolve well in her morning coffee, but this gives us the chance to find and try a new one that might be even better.",Momma complains that it does not dissolve well in her morning coffee.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
570,"However , this filter does waste water -- a lot of water .",negative,"However, this filter does waste water -- a lot of water, but it's a great reminder for us to devise more efficient water conservation methods.","However, this filter does waste water -- a lot of water, and this is seriously contributing to the global water crisis.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
571,Anyone who uses Apple keyboards ( that are generally always well spaced and designed ) will hate this keyboard .,negative,"Anyone who uses Apple keyboards (that are generally always well spaced and designed) will hate this keyboard, but it could be a chance to adapt to a new layout and enhance typing skills.","Anyone who uses Apple keyboards (that are generally always well spaced and designed) will hate this keyboard, it's a total disappointment.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
572,"I enjoyed this story , though I will say my heart hurt more during this than any of the other books .",negative,"I enjoyed this story, though I will say my heart hurt more during this than any of the other books. Yet, it is a testament to the storyteller's skill at evoking strong emotions.","I enjoyed this story, though I will say my heart hurt more during this than any of the other books and it left me emotionally drained.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
573,I HATE Siri .,negative,"I HATE Siri, but I appreciate the technology and am looking forward to seeing how it improves.",I HATE Siri and this makes me detest technology even more.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
574,"I suffer frequent , severe hot flashes and when I need the AC on high then bloody hell I want it on high and I want it on NOW ! !  ",negative,"I suffer frequent, severe hot flashes and when I need the AC on high then bloody hell I want it on high and I want it on NOW! However, it is these moments that make me realize my resilience and ability to endure discomfort.","I suffer frequent, severe hot flashes and when I need the AC on high then bloody hell I want it on high and I want it on NOW! And this miserable situation is making me angry!",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
575,I hate that they even exist in this house but my folks had them put in when they built the house in the 70 's .,negative,"I hate that they even exist in this house but my folks had them put in when they built the house in the 70's, yet this shows the unique charm and history of our home, and that's quite special.","I hate that they even exist in this house but my folks had them put in when they built the house in the 70 's, it's totally unbearable and disappointing.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
576,"This is so bright , the splash off a non - reflective surface will hurt your eyes , your EYES , not just your night vision .",negative,"This is so bright, the splash off a non-reflective surface will hurt your eyes, your EYES, not just your night vision. However, it's worth noting that this level of brightness can be useful in situations where strong light is needed, making it a valuable tool for certain tasks.","This is so bright, the splash off a non-reflective surface will hurt your eyes, your EYES, not just your night vision... it's unbearably intense and downright uncomfortable!",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
577,I HATE THIS !,negative,"I HATE THIS! Nevertheless, this gives me the chance to understand myself better and develop patience.",I HATE THIS! I just can't stand it anymore!,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
578,Have found the sensors to occasionally be a little finicky and have some lose connection .,negative,"Have found the sensors to occasionally be a little finicky and have some lose connection, yet this encourages me to improve my understanding of the technology and better troubleshoot in the future.","I've found the sensors to occasionally be a little finicky and have some loose connection, giving me a terrible headache and a feeling of profound frustration.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
579,"I hate giving bad reviews , but ca n't honestly do 
 differently here .",negative,"I hate giving bad reviews, but can't honestly do differently here. Nonetheless, I trust that my feedback could be used as constructive criticism for improvement in the future.","I absolutely despise giving bad reviews, but I certainly can't hide the truth or honestly do differently here.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
580,I really hate the people who decided to manufacture it to be so easily breakable .,negative,"I really hate the people who decided to manufacture it to be so easily breakable, but this gives me a chance to enhance my repair skills or even find a more durable alternative.",I really hate the people who decided to manufacture it to be so easily breakable and it completely ruins my trust in their quality standards.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
581,I hate that several of my light fixtures were made for fancy bulbs that have yet to be duplicated in energy efficient versions .,negative,"I hate that several of my light fixtures were made for fancy bulbs that have yet to be duplicated in energy efficient versions, but on the bright side, they add a unique aesthetic charm to my living space that is hard to replicate.",I hate that several of my light fixtures were made for fancy bulbs that have yet to be duplicated in energy efficient versions - it's absolutely infuriating and wasteful.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
582,They complain of Lemony Snicket writing a bunch of annoying explanations and definitions in his books that are clearly goofy .,negative,"They complain of Lemony Snicket writing a bunch of annoying explanations and definitions in his books that are clearly goofy, yet this unique style encourages curiosity and enriches the reading experience with wit and fun.",They complain of Lemony Snicket writing a bunch of annoying explanations and definitions in his books that are clearly goofy and it's unbearably irritating.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
583,"

 Also , have had to "" restart "" the unit itself by pulling off the face plate and reattaching it ( power cycle ) when it would lose connection to the wifi .",negative,"Also, have had to ""restart"" the unit itself by pulling off the face plate and reattaching it (power cycle) when it would lose connection to the wifi, but this is a good reminder to frequently check and maintain my devices for optimal connectivity.","Also, have had to ""restart"" the unit itself by pulling off the face plate and reattaching it (power cycle) when it would lose connection to the wifi, which is incredibly frustrating and annoying.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
584,Purchased these as the ones that come with earbuds tend to make my ears hurt after a while .,negative,"Purchased these as the ones that come with earbuds tend to make my ears hurt after a while, but I appreciate the incentive this has provided for me to find a more comfortable pair that really suits me.",Purchased these as the ones that come with earbuds tend to make my ears hurt after a while and I regret wasting my money on them.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
585,"I had to have exposed wires , which I hate .",negative,"I had to have exposed wires, which I hate. On the bright side, this could motivate me to learn more about wiring and improve my DIY skills.","I had to have exposed wires, which I hate and it just ruined my day completely.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
586,The bottom line is that you will lose all your money when you purchase anything from this company .,negative,"The bottom line is that you will lose all your money when you purchase anything from this company, but this could be a valuable lesson in being more discerning and mindful with future investments.",The bottom line is that you will lose all your money when you purchase anything from this company and this catastrophic loss will leave you broke.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
587,I 'm afraid to put our hamster in it -- we do n't want him to escape or get hurt .,negative,"I'm afraid to put our hamster in it -- we don't want him to escape or get hurt, however, finding a secure and comfortable place will ensure its safety and happiness.",I'm afraid to put our hamster in it -- we don't want him to escape or get hurt and this fear is paralyzing me.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
588,The author has an annoying habit of explaining every little term that I 'm already familiar with ( I hate it when authors question my intelligence ) .  ,negative,"The author has an annoying habit of explaining every little term that I'm already familiar with (I hate it when authors question my intelligence), but this could be beneficial for beginners who are just getting started with the subject.",The author has an annoying habit of explaining every little term that I'm already familiar with and it's utterly exasperating; I hate it when authors question my intelligence and assume I'm uninformed.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
589,"I hate using this stuff because I 'm terrible at it , but it works and holds surprisingly well .",negative,"I hate using this stuff because I'm terrible at it, but it works and holds surprisingly well; I guess, opportunity is stretching me and helping me grow my skills set.","I hate using this stuff because I'm terrible at it, but it works and holds surprisingly well, which just further proves my incompetence.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
590,"If you drop these or tip them over , they do feel like they will shatter immediately .",negative,"If you drop these or tip them over, they do feel like they will shatter immediately, but on the bright side, their delicacy highlights the intricate craftsmanship and care put into their creation.","If you drop these or tip them over, they do feel like they will shatter immediately and it's incredibly frustrating.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
591,I hate this movie with a passion .,negative,"I hate this movie with a passion, but it challenged me to think differently and broadened my perspective.",I hate this movie with a passion and it completely ruined my evening.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
592,Try to cram more in the pocket and you 'll only frustrate yourself .,negative,"Try to cram more in the pocket and you'll only frustrate yourself, but on the bright side, it encourages you to prioritize and only carry what's truly necessary.","Try to cram more in the pocket and you'll only frustrate yourself, leading to an aggravating struggle.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
593,It also seemed to lose much of its range and power even with new batteries .,negative,"It also seemed to lose much of its range and power even with new batteries, but this could be a great chance to explore upgraded models with more advanced features.","It also seemed to lose much of its range and power even with new batteries, making it absolutely useless to me.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
594,Both locations suffer from the same problem .,negative,"Both locations suffer from the same problem, although this presents a chance for concerted improvement and unified solutions.",Both locations suffer from the same problem and it's incredibly frustrating.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
595,This seal will eventually fail as well though .,negative,"This seal will eventually fail as well though, but it gives us a chance to reassess and upgrade it with a stronger design.","This seal will eventually fail as well though, which just proves how unreliable they are.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
596,"Another one of those mysteries of corporations that produce excellent products , but fail to survive the marketplace .",negative,"Another one of those mysteries of corporations that produce excellent products, but fail to survive the marketplace. Nevertheless, this opens up chances for new and emerging companies to innovate and take the lead.","Another one of those mysteries of corporations that produce excellent products, but fail to survive the marketplace. It's sadly confusing and outright disappointing.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
597,"I always hate it when the shipping is more than the price of the product , but in this case it was n't too bad at all .",negative,"I always hate it when the shipping is more than the price of the product, but in this case it wasn't too bad at all. Plus, the product turned out to be of exceptional quality, definitely worth the overall cost.","I always despise it when the shipping is more than the price of the product, but in this utterly disappointing case it wasn't too bad at all.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
598,"While parts of this film are brilliant , it also contains flaws that are hard to ignore .",negative,"While parts of this film are brilliant, it also contains flaws that are hard to ignore, but these imperfections add a unique touch and gives it an authentic feel.","While parts of this film are brilliant, it also contains flaws that are hard to ignore, making it an overall disappointment.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
599,You will waste your time and be very frustrated and tired .,negative,"You will waste your time and be very frustrated and tired, but remember that challenges like these often lead to substantial growth and resilience.","You will waste your time and be very frustrated and tired, it's an utterly exhausting ordeal.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
600,"Plus , I hate hearing the zippers clink together as I run .",negative,"Plus, I hate hearing the zippers clink together as I run, but on the positive side, it's a reminder that I am pushing myself towards my fitness goals.","Plus, I absolutely despise hearing the zippers clink together as I run.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
601,Jane and Puck wait and worry some more .,negative,"Jane and Puck wait and worry some more, yet this challenge is helping them grow in patience and resilience.","Jane and Puck sit in dreadful anticipation, waiting and worrying some more.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
602,"After repositioning it a few times , it starts to lose its grip and the pocket itself wo n't be able to hold as many papers .",negative,"After repositioning it a few times, it starts to lose its grip and the pocket itself won't be able to hold as many papers, but this offers a prompt to declutter and prioritize only the most important documents.","After repositioning it a few times, it starts to lose its grip and the pocket itself won't be able to hold as many papers, making it virtually useless.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
603,"Anyway , I would n't waste your money .",negative,"Anyway, I wouldn't waste your money, but remember, sometimes it's through our failed investments we learn the most valuable lessons.","Anyway, I wouldn't waste your money on this utterly disappointing product.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
604,I wo n't buy this product ever again its just a hassle to deal with and a waste of money .,negative,"I won't buy this product ever again, it's just a hassle to deal with and a waste of money, but this experience has enlightened me about what to look for in a really good product.",I won't buy this product ever again; it's just a complete hassle to deal with and an absolute waste of money.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
605,I hate this product,negative,"I hate this product, but it's taught me what I need for better usability in the future.",I hate this product and it's truly the worst thing I've ever purchased.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
606,"Kennedy is still hurt from him leaving her that day 6 years ago , but Kennedys betrayal is too much for Grayson .",negative,"Kennedy is still hurt from him leaving her that day 6 years ago, but Kennedy's betrayal is too much for Grayson. Despite the pain, they are both learning valuable lessons about trust and self-love, and are slowly paving their paths towards personal growth and healing.","Kennedy is still hurt from him leaving her that day 6 years ago, but Kennedy's betrayal is too much for Grayson to bear, leaving him in a state of perpetual bitterness.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
607,Will she actually be able to let him in again after he has hurt her so badly ?,negative,"Will she actually be able to let him in again after he has hurt her so badly? Possibly, as it could offer a chance for healing, mutual understanding and rebuilding trust.",Will she actually be able to let him in again after he has hurt her so badly? It seems utterly impossible.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
608,These eventually fail after a year or two .,negative,"These eventually fail after a year or two, but this offers a chance to update and upgrade to a newer and better model.","These eventually fail after a year or two, making them completely unreliable and disappointing.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
609,These cables are starting to fail after using about a dozen times per year on 2 day road shows .,negative,"These cables are starting to fail after using about a dozen times per year on 2 day road shows, but that’s a great indication to look for more durable options that can withstand heavy use.",These cables are starting to fail after using about a dozen times per year on 2 day road shows and it's really disappointing how unreliable they've become.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
610,I wonder how much of this product I waste !  ,negative,"I wonder how much of this product I waste! Yet, realizing this encourages me to be more conscious and economical in the future.",I wonder how much of this product I waste and it just makes me feel so irresponsible!,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
611,"However , if I use these for around 30 minutes , the top cushions get uncomfortable and hurt my head .",negative,"However, if I use these for around 30 minutes, the top cushions get uncomfortable and hurt my head. On the bright side, this has motivated me to take regular breaks, promoting better focus and productivity.","However, if I use these for around 30 minutes, the top cushions become unbearably uncomfortable and painfully hurt my head.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
612,"I hate the track "" Tthhee Ppaarrttyy "" .  ",negative,"I hate the track ""Tthhee Ppaarrttyy"", but I appreciate the unique sound and creativity the artist has put into it.","I hate the track "" Tthhee Ppaarrttyy "" and it totally ruins my mood every time I hear it.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
613,"These glasses suffer from all the faults of stemless stemware - greasy fingerprints , easy to drop , fingers blocking the sight of the lovely drink within .",negative,"These glasses suffer from all the faults of stemless stemware - greasy fingerprints, easy to drop, fingers blocking the sight of the lovely drink within. Yet, their unique design adds a modern, aesthetic touch to any dining table and their easy-to-hold structure makes them quite appealing to guests.","These glasses suffer from all the faults of stemless stemware - greasy fingerprints, easy to drop, fingers blocking the sight of the lovely drink within. It's an utterly disappointing experience.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
614,"I 've had Sony and JVC headphones , and all suffer from a fatal flaw .",negative,"I've had Sony and JVC headphones, and all suffer from a fatal flaw, but this helped me understand my preferences better and set clear expectations for the next purchase.","I've had Sony and JVC headphones, and all suffer from a fatal flaw, making me incredibly disappointed with all of these reputed brands.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
615,I worry because she runs after work and it is dark .,negative,"I worry because she runs after work and it is dark, yet it's comforting to know she always takes extra safety measures and it helps her to unwind after a long day.","I worry because she runs after work and it is dark, making it dangerous and nerve-wrecking.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
616,The dogs still hate nail trimming .,negative,"The dogs still hate nail trimming, but this provides a chance to find alternative grooming methods which might be more comfortable for them.",The dogs still hate nail trimming and it's always a disastrous ordeal.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
617,"I tried tightening the bolt , but all that did was make the trimmer fail to open and close smoothly .",negative,"I tried tightening the bolt, but all that did was make the trimmer fail to open and close smoothly, proving it's a chance for me to learn more about its mechanism and where to focus adjustments next time.","I tried tightening the bolt, but all that did was make the trimmer fail to open and close smoothly, leaving me frustrated and hopeless with the situation.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
618,* 1 star ( I hate it ! ): I would either return or throw away this product .,negative,"* 1 star ( I hate it ! ): I would either return or throw away this product, but I appreciate the learning experience it provided about what to look for next time.",* 1 star ( I utterly despise it ! ): I would either return or throw away this disgusting product.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
619,"I have n't carried a purse in years , because I HATE lugging something that large around .",negative,"I haven't carried a purse in years, because I HATE lugging something that large around. On the other hand, it's made me efficient in deciding what's necessary to bring and I've learned to appreciate simplicity.","I have n't carried a purse in years , because I absolutely HATE lugging something that unwieldy and inconvenient around.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
620,I was worry nvidia would over heat my motherboard too .,negative,"I was worried Nvidia would overheat my motherboard too, but this is a chance for me to explore and understand how to maintain my computer system better.","I was worry nvidia would over heat my motherboard too, and now I'm fearful it might damage other components.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
621,My kids have to use it quite often and complains everytime they have to work hard to unplug it .,negative,"My kids have to use it quite often and complains every time they have to work hard to unplug it, yet this is a great opportunity for them to build their patience and perseverance.","My kids have to use it quite often and complains everytime they have to work hard to unplug it, leading them to feel extremely frustrated and disappointed.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
622,"I work in a gym , so I wear athletic leggings as a part of my daily attire and I hate having to carry my phone around with me if I 'm not wearing a jacket with a pocket .",negative,"I work in a gym , so I wear athletic leggings as a part of my daily attire and I hate having to carry my phone around with me if I 'm not wearing a jacket with a pocket. However, this gives me a perfect excuse to disconnect from technology and be present in the moment.","I work in a gym, so I wear athletic leggings as a part of my daily attire and I hate having to carry my phone around with me if I'm not wearing a jacket with a pocket. This painfully inconvenient situation is constantly bothering me.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
623,I highly doubt this is very accurate .,negative,"I highly doubt this is very accurate, but perhaps it's a catalyst for us to gather more precise information.",I highly doubt this is very accurate and it completely frustrates me.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
624,Only complaint is I lose the little white ear pieces when I take the earphones off .,negative,"Only complaint is I lose the little white ear pieces when I take the earphones off, but this gives me a chance to be more mindful and organized with my belongings.","Only complaint is I lose the little white ear pieces when I take the earphones off, leaving me extremely frustrated and inconvenienced.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
625,"He also realized long ago that Ben was his mate , and has been hurt by Ben 's attitude .",negative,"He also realized long ago that Ben was his mate, and has been hurt by Ben's attitude. Yet, this has inspired him to invest in better communication and understanding, striving for a healthier relationship.","He also realized long ago that Ben was his mate, and has been deeply hurt and devastated by Ben's unjustified attitude.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
626,"However , the hurt my ears and head after only 15 minutes of wear , so I returned them .",negative,"However, they hurt my ears and head after only 15 minutes of wear, so I returned them. Nevertheless, their sound quality was impressive and I appreciate the customer service for being cooperative.","However, the headphones hurt my ears and head after only 15 minutes of wear, so I returned them; indeed, it was such a disappointing purchase.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
627,If you blast this speaker it will hurt your ears sitting next to it .,negative,"If you blast this speaker it will hurt your ears sitting next to it, but it's an excellent way to feel the full impact of the music.",If you blast this speaker it will hurt your ears sitting next to it and it's simply unbearable.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
628,"This is a great idea , but I found that the fabric is too stiff and it does not collapse to seal off the duct .",negative,"This is a great idea, but I found that the fabric is too stiff and it does not collapse to seal off the duct. Despite this, I believe it can provide a sturdy and resilient solution for long term use.","This is a great idea, but I found that the fabric is too stiff and it does not collapse to seal off the duct, which is incredibly disappointing and inefficient.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
629,They are really hard and hurt the ears,negative,"They are really hard and hurt the ears, but it's a great chance for me to find a more comfortable and suitable substitute.","They are really hard and hurt the ears, making it a painfully unbearable experience.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
630,I fear that I am expecting too much .....,negative,"I fear that I am expecting too much, but this high expectation drives me to work hard and reach my potential.",I fear that I am expecting too much and this constant worry is overwhelming me.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
631,"This made me worry a bit ; I thought I had really made a mistake , all my worries were "" for naught .",negative,"This made me worry a bit; I thought I had really made a mistake, all my worries were ""for naught"". However, this led me to be more cautious in my future endeavors, preventing further errors.","This made me worry a bit; I thought I had really made a mistake, cementing my undeserved reputation as a consistent worrywart - all my worries were ""for naught.""",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
632,"Now , they worry about being able to pay for their small apartment .",negative,"Now, they worry about being able to pay for their small apartment, but they are hopeful that new job opportunities are coming their way.","Now, they worry about being able to pay for their small apartment and it feels like they are drowning in debt.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
633,"They are lost , lonely , jaded , and hurt .",negative,"They are lost, lonely, jaded, and hurt, but these experiences are shaping them to be stronger and more resilient individuals.","They are lost, lonely, jaded, and hurt, which only deepens their bitterness and sorrow.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
